Name,F_N_AprilRabbit,
42,

F_LineDrop,True,0,False|64|2|0.2|0.25|270|True|1,
F_JudgeLine,True,0,False|1|4|4|128|4|0|0#0,
F_AprilRabbit_TutorialText,True,0,"False||このゲームに<r=きょうみ>興味</r>をもって
いただきありがとうございます！|False|0#0#0|False|3",
F_AprilRabbit_TutorialText,True,8,False||これからチュートリアルをはじめます！|False|0#0#0|False|3,
F_AprilRabbit_TutorialText,True,16,"False||おちてくるタップノーツと線が
<r=かさ>重</r>なった時にタップしてください|True|-400#0#0|False|3",
F_ItemMove,True,16,False||Line|1|False|False|0.5|False|0#4|False|0|0#0|0%True%5&0%%90%%0.2%0.2~16~End&0~16~End&0.2~0~End|,
F_General,True,24,#False|0%Normal%5%0%0%0#2%Normal%6%0%0%0#2%Normal%4%0%0%0#2%Normal%5%0%0%0|False|1,
F_AprilRabbit_TutorialText,True,32,"False||色の<r=うす>薄</r>いスライドノーツは
なぞるだけでOKです|True|800#0#0|False|3",
F_ItemMove,True,32,False||Line|1|False|False|0.6666667|False|0#4|False|0|0#0|0%True%-4&0%%90%%0.2%0.2~16~End&0~16~End&0.2~0~End|,
F_General,True,38,#False|0%Slide%-4%0%0%0#4%Slide%-5%0%0%0#4%Slide%-6%0%0%0#4%Slide%-5%0%0%0#4%Slide%-4%0%0%0#4%Slide%-5%0%0%0|False|1,
F_AprilRabbit_TutorialText,True,44,"False||ロングノーツは<r=お>終</r>わりまで
<r=お>押</r>しつづけてください|True|-800#0#0|False|3",
F_ItemMove,True,44,False||Line|1|False|False|0.6666667|False|0#4|False|0|0#0|0%True%4&0%%90%%0.2%0.2~16~End&0~16~End&0.2~0~End|,
F_General,True,50,#False|0%Hold%4%2%0%0#1%Hold%6%2%0%0|False|1,
F_AprilRabbit_TutorialText,True,62,"False||カーブノーツは形の通りに
一本指でなぞってください|True|800#0#0|False|3",
F_ItemMove,True,62,False||Line|1|False|False|0.5|False|0#4|False|0|0#0|0%True%-6&0%%90%%0.2%0.2~16~End&0~16~End&0.2~0~End|,
F_Arc,True,70,False|1||0|-6%0%Auto%False%False%0%2%0&0&0#-2%2%Auto%False%False%0%2%0&0&0#-6%2%Auto%False%False%0%2%0&0&0#-3%2%Auto%False%False%0%2%0&0&0,
F_AprilRabbit_TutorialText,True,78,"False||ゲームの<r=きほんてき>基本的</r>なルールは
これで<r=ぜんぶ>全部</r>です|True|-400#0#0|False|3",
F_AprilRabbit_TutorialText,True,86,"False||これまでのノーツを
あわせてみましょう！|True|0#0#0|True|2.2",
F_General,True,94,#False|0%Normal%4%0%0%0#2%Normal%4%0%0%0#2%Normal%-4%0%0%0#2%Normal%-4%0%0%0#2%Hold%6%2%0%0#1%Hold%-6%2%0%0#0%_None%5%0%0%0#1%Slide%1%0%0%0#8%Slide%2%0%0%0#8%Slide%3%0%0%0#0%_None%5%0%0%0#4%Slide%-1%0%0%0#8%Slide%-2%0%0%0#8%Slide%-3%0%0%0#0%_None%5%0%0%0#4%Slide%5%0%0%0#8%Slide%4%0%0%0#8%Slide%3%0%0%0#0%_None%-5%0%0%0#4%Slide%-5%0%0%0#8%Slide%-4%0%0%0#8%Slide%-3%0%0%0#1%_None%-5%0%0%0#4%Normal%-4%0%0%0|False|1,
F_Arc,True,118,False|1||0|6%0%Auto%False%False%0%4%0&0&0#6%2%JudgeOnly%False%False%4%2%0&0&0#0%2%Auto%False%False%0%4%0&0&0#6%2%JudgeOnly%False%False%4%2%0&0&0#6%2%Auto%False%False%0%2%0&0&0,
F_AprilRabbit_TutorialText,True,124,"False||チュートリアルは以上です
お付き合い頂きありがとうございました！|True|0#0#0|True|3",
F_Result,True,132,,
